"sex","marital","education","income","votes"
"M","D","G","A","A"
"F","D","H","A","A"
"M","M","H","A","A"
"M","N","H","H","A"
"F","D","H","A","A"
"M","D","B","A","A"
"M","N","H","L","B"
"M","M","H","L","A"
"U","D","H","A","A"
"U","M","H","A","A"
"M","N","H","H","A"
"F","W","G","A","A"
"F","M","B","A","A"
"M","N","G","L","B"
"M","M","H","A","A"
"M","M","B","L","A"
"M","M","B","A","A"
"F","N","B","A","A"
"F","N","B","A","A"
"F","M","B","A","A"
"F","M","G","A","A"
"M","M","H","A","A"
"F","W","B","A","A"
"F","D","G","A","A"
"F","N","H","A","A"
"M","W","B","A","A"
"M","W","B","A","A"
"F","M","H","A","A"
"U","M","G","A","A"
"M","M","B","L","A"
"F","N","B","A","A"
"U","D","H","A","A"
"M","M","B","H","A"
"F","N","B","A","A"
"M","N","H","A","A"
"M","D","H","H","A"
"M","N","H","H","A"
"F","M","H","H","A"
"M","D","G","A","A"
"F","M","B","L","A"
"M","D","H","L","A"
"M","M","B","L","A"
"F","M","G","H","A"
"F","M","B","A","A"
"U","M","H","L","A"
"F","D","H","L","B"
"M","N","B","H","A"
"F","W","B","A","A"
"M","M","B","H","A"
"M","M","H","A","A"
"F","M","H","A","A"
"M","M","H","L","A"
"M","M","H","A","A"
"F","W","H","A","A"
"M","N","B","A","A"
"F","M","B","A","A"
"F","D","B","A","A"
"F","N","H","L","B"
"M","D","H","A","A"
"F","M","G","A","A"
"M","M","G","A","A"
"M","M","H","L","A"
"M","M","H","A","A"
"F","D","H","A","A"
"M","D","H","H","A"
"M","D","B","A","A"
"M","M","B","A","A"
"M","M","H","A","A"
"M","D","G","A","A"
"F","M","H","L","A"
"F","M","B","A","A"
"F","D","G","A","A"
"F","D","G","A","A"
"F","N","G","A","A"
"F","N","B","L","B"
"M","D","G","A","A"
"F","D","B","A","A"
"M","D","G","A","A"
"M","M","B","A","A"
"M","M","B","H","A"
"F","D","B","A","A"
"F","N","B","H","A"
"M","M","H","L","A"
"M","D","B","A","A"
"F","M","H","L","A"
"M","D","B","A","A"
"F","M","B","L","A"
"M","D","B","A","A"
"M","D","H","A","A"
"M","D","G","A","A"
"M","D","B","A","A"
"M","D","B","H","A"
"M","D","H","A","A"
"M","M","B","L","A"
"M","M","H","A","A"
"F","D","B","A","A"
"U","N","H","L","B"
"F","M","H","A","A"
"M","M","B","A","A"
"M","D","B","A","A"
"F","M","H","L","A"
"M","M","B","A","A"
"M","D","B","A","A"
"F","W","B","A","A"
"M","W","H","A","A"
"U","M","H","A","A"
"M","M","H","L","A"
"F","W","B","A","A"
"M","D","H","A","A"
"M","N","H","L","B"
"M","N","B","A","A"
"F","W","B","A","A"
"U","N","G","A","A"
"M","D","B","A","A"
"F","M","B","L","A"
"F","N","H","A","A"
"F","M","H","A","A"
"F","N","H","H","A"
"M","N","B","A","A"
"M","M","B","A","A"
